Title,ISSN,Type,EncodedTitle
Accident Analysis & Prevention,00014575,Freedom,Accident%20Analysis%20and%20Prevention
"Agriculture, Ecosystems & Environment",01678809,Freedom,Agriculture%2C%20Ecosystems%20and%20Environment
Alzheimer's & Dementia,15525260,Freedom,Alzheimer%27s%20and%20Dementia
Anaesthesia Critical Care & Pain Medicine,23525568,Freedom,Anaesthesia%20Critical%20Care%20and%20Pain%20Medicine
Anaesthesia & Intensive Care Medicine,14720299,Freedom,Anaesthesia%20and%20Intensive%20Care%20Medicine
Arthropod Structure & Development,14678039,Freedom,Arthropod%20Structure%20and%20Development
Best Practice & Research Clinical Anaesthesiology,15216896,Freedom,Best%20Practice%20and%20Research%20Clinical%20Anaesthesiology
Best Practice & Research Clinical Endocrinology & Metabolism,1521690X,Freedom,Best%20Practice%20and%20Research%20Clinical%20Endocrinology%20and%20Metabolism
Best Practice & Research Clinical Gastroenterology,15216918,Freedom,Best%20Practice%20and%20Research%20Clinical%20Gastroenterology
Best Practice & Research Clinical Haematology,15216926,Freedom,Best%20Practice%20and%20Research%20Clinical%20Haematology
Best Practice & Research Clinical Obstetrics & Gynaecology,15216934,Freedom,Best%20Practice%20and%20Research%20Clinical%20Obstetrics%20and%20Gynaecology
Best Practice & Research Clinical Rheumatology,15216942,Freedom,Best%20Practice%20and%20Research%20Clinical%20Rheumatology
Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,15320456,Freedom,Comparative%20Biochemistry%20and%20Physiology%20Part%20C%3A%20Toxicology%20and%20Pharmacology
Computer Fraud & Security,13613723,Freedom,Computer%20Fraud%20and%20Security
Computer Law & Security Review,02673649,Freedom,Computer%20Law%20and%20Security%20Review
Computers & Chemical Engineering,00981354,Freedom,Computers%20and%20Chemical%20Engineering
Computers & Education,03601315,Freedom,Computers%20and%20Education
Computers & Electrical Engineering,00457906,Freedom,Computers%20and%20Electrical%20Engineering
Computers & Industrial Engineering,03608352,Freedom,Computers%20and%20Industrial%20Engineering
Computers & Operations Research,03050548,Freedom,Computers%20and%20Operations%20Research
Current Opinion in Colloid & Interface Science,13590294,Freedom,Current%20Opinion%20in%20Colloid%20and%20Interface%20Science
Current Opinion in Environmental Science & Health,24685844,Freedom,Current%20Opinion%20in%20Environmental%20Science%20and%20Health
Cytokine & Growth Factor Reviews,13596101,Freedom,Cytokine%20and%20Growth%20Factor%20Reviews
Developmental & Comparative Immunology,0145305X,Freedom,Developmental%20and%20Comparative%20Immunology
Diabetes & Metabolic Syndrome: Clinical Research and Reviews,18714021,Freedom,Diabetes%20and%20Metabolic%20Syndrome%3A%20Clinical%20Research%20and%20Reviews
Diabetes & Metabolism,12623636,Freedom,Diabetes%20and%20Metabolism
"Discourse, Context & Media",22116958,Freedom,Discourse%2C%20Context%20and%20Media
Ecohydrology & Hydrobiology,16423593,Freedom,Ecohydrology%20and%20Hydrobiology
Economics & Human Biology,1570677X,Freedom,Economics%20and%20Human%20Biology
Energy Research & Social Science,22146296,Freedom,Energy%20Research%20and%20Social%20Science
"Environmental Nanotechnology, Monitoring & Management",22151532,Freedom,Environmental%20Nanotechnology%2C%20Monitoring%20and%20Management
Environmental Science & Policy,14629011,Freedom,Environmental%20Science%20and%20Policy
Environmental Technology & Innovation,23521864,Freedom,Environmental%20Technology%20and%20Innovation
Epilepsy & Behavior,15255050,Freedom,Epilepsy%20and%20Behavior
European Journal of Obstetrics & Gynecology and Reproductive Biology,03012115,Freedom,European%20Journal%20of%20Obstetrics%20and%20Gynecology%20and%20Reproductive%20Biology
European Journal of Trauma & Dissociation,24687499,Freedom,European%20Journal%20of%20Trauma%20and%20Dissociation
Fish & Shellfish Immunology,10504648,Freedom,Fish%20and%20Shellfish%20Immunology
Fuss & Sprunggelenk,16199987,Freedom,Fuss%20and%20Sprunggelenk
Gait & Posture,09666362,Freedom,Gait%20and%20Posture
Growth Hormone & IGF Research,10966374,Freedom,Growth%20Hormone%20and%20IGF%20Research
Gynécologie Obstétrique Fertilité & Sénologie,24687189,Freedom,Gyn%C3%A9cologie%20Obst%C3%A9trique%20Fertilit%C3%A9%20and%20S%C3%A9nologie
Hepatobiliary & Pancreatic Diseases International,14993872,Freedom,Hepatobiliary%20and%20Pancreatic%20Diseases%20International
"Infection, Disease & Health",24680451,Freedom,Infection%2C%20Disease%20and%20Health
Information & Management,03787206,Freedom,Information%20and%20Management
Information Processing & Management,03064573,Freedom,Information%20Processing%20and%20Management
Innovative Food Science & Emerging Technologies,14668564,Freedom,Innovative%20Food%20Science%20and%20Emerging%20Technologies
International Biodeterioration & Biodegradation,09648305,Freedom,International%20Biodeterioration%20and%20Biodegradation
The International Journal of Biochemistry & Cell Biology,13572725,Freedom,The%20International%20Journal%20of%20Biochemistry%20and%20Cell%20Biology
International Journal of Electrical Power & Energy Systems,01420615,Freedom,International%20Journal%20of%20Electrical%20Power%20and%20Energy%20Systems
International Review of Economics & Finance,10590560,Freedom,International%20Review%20of%20Economics%20and%20Finance
Journal of Contemporary Accounting & Economics,18155669,Freedom,Journal%20of%20Contemporary%20Accounting%20and%20Economics
Journal of Destination Marketing & Management,2212571X,Freedom,Journal%20of%20Destination%20Marketing%20and%20Management
"Journal of Hospitality, Leisure, Sport & Tourism Education",14738376,Freedom,Journal%20of%20Hospitality%2C%20Leisure%2C%20Sport%20and%20Tourism%20Education
Journal of Interprofessional Education & Practice,24054526,Freedom,Journal%20of%20Interprofessional%20Education%20and%20Practice
Journal of Materials Science & Technology,10050302,Freedom,Journal%20of%20Materials%20Science%20and%20Technology
Journal of Rail Transport Planning & Management,22109706,Freedom,Journal%20of%20Rail%20Transport%20Planning%20and%20Management
Journal of Transport & Health,22141405,Freedom,Journal%20of%20Transport%20and%20Health
Language & Communication,02715309,Freedom,Language%20and%20Communication
Library & Information Science Research,07408188,Freedom,Library%20and%20Information%20Science%20Research
Médecine & Droit,12467391,Freedom,M%C3%A9decine%20and%20Droit
Mental Health & Prevention,22126570,Freedom,Mental%20Health%20and%20Prevention
Nano-Structures & Nano-Objects,2352507X,Freedom,Nano-Structures%20and%20Nano-Objects
NDT & E International,09638695,Freedom,NDT%20and%20E%20International
Néphrologie & Thérapeutique,17697255,Freedom,N%C3%A9phrologie%20and%20Th%C3%A9rapeutique
Obesity Research & Clinical Practice,1871403X,Freedom,Obesity%20Research%20and%20Clinical%20Practice
"Obstetrics, Gynaecology & Reproductive Medicine",17517214,Freedom,Obstetrics%2C%20Gynaecology%20and%20Reproductive%20Medicine
Orthopaedics & Traumatology: Surgery & Research,18770568,Freedom,Orthopaedics%20and%20Traumatology%3A%20Surgery%20and%20Research
Parkinsonism & Related Disorders,13538020,Freedom,Parkinsonism%20and%20Related%20Disorders
Performance Enhancement & Health,22112669,Freedom,Performance%20Enhancement%20and%20Health
Prostaglandins & Other Lipid Mediators,10988823,Freedom,Prostaglandins%20and%20Other%20Lipid%20Mediators
Pulmonary Pharmacology & Therapeutics,10945539,Freedom,Pulmonary%20Pharmacology%20and%20Therapeutics
Reports of Practical Oncology & Radiotherapy,15071367,Freedom,Reports%20of%20Practical%20Oncology%20and%20Radiotherapy
Research in Transportation Business & Management,22105395,Freedom,Research%20in%20Transportation%20Business%20and%20Management
Respiratory Physiology & Neurobiology,15699048,Freedom,Respiratory%20Physiology%20and%20Neurobiology
Science & Justice,13550306,Freedom,Science%20and%20Justice
Science & Sports,07651597,Freedom,Science%20and%20Sports
Sexual & Reproductive Healthcare,18775756,Freedom,Sexual%20and%20Reproductive%20Healthcare
Trends in Food Science & Technology,09242244,Freedom,Trends%20in%20Food%20Science%20and%20Technology
Urban Forestry & Urban Greening,16188667,Freedom,Urban%20Forestry%20and%20Urban%20Greening
Wilderness & Environmental Medicine,10806032,Freedom,Wilderness%20and%20Environmental%20Medicine
Journal of Visual Languages & Computing,1045926X,Freedom,Journal%20of%20Visual%20Languages%20and%20Computing
Bioorganic & Medicinal Chemistry,09680896,Subscribed,Bioorganic%20and%20Medicinal%20Chemistry
Bioorganic & Medicinal Chemistry Letters,0960894X,Subscribed,Bioorganic%20and%20Medicinal%20Chemistry%20Letters
Social Science & Medicine,02779536,Subscribed,Social%20Science%20and%20Medicine
Health & Place,13538292,Subscribed,Health%20and%20Place
"Journal of Obstetric, Gynecologic & Neonatal Nursing",08842175,Subscribed,Journal%20of%20Obstetric%2C%20Gynecologic%20and%20Neonatal%20Nursing
"Chaos, Solitons & Fractals",09600779,Subscribed,Chaos%2C%20Solitons%20and%20Fractals
Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,10956433,Subscribed,Comparative%20Biochemistry%20and%20Physiology%20Part%20A%3A%20Molecular%20and%20Integrative%20Physiology
Computers & Mathematics with Applications,08981221,Subscribed,Computers%20and%20Mathematics%20with%20Applications
"Computer Languages, Systems & Structures",14778424,Subscribed,Computer%20Languages%2C%20Systems%20and%20Structures
Computers & Structures,00457949,Subscribed,Computers%20and%20Structures
Computers & Fluids,00457930,Subscribed,Computers%20and%20Fluids
Computers & Graphics,00978493,Subscribed,Computers%20and%20Graphics
Computers & Geosciences,00983004,Subscribed,Computers%20and%20Geosciences
Environmental Modelling & Software,13648152,Subscribed,Environmental%20Modelling%20and%20Software
Computers & Security,01674048,Subscribed,Computers%20and%20Security
Current Opinion in Genetics & Development,0959437X,Subscribed,Current%20Opinion%20in%20Genetics%20and%20Development
Computer Standards & Interfaces,09205489,Subscribed,Computer%20Standards%20and%20Interfaces
Data & Knowledge Engineering,0169023X,Subscribed,Data%20and%20Knowledge%20Engineering
Computational Statistics & Data Analysis,01679473,Subscribed,Computational%20Statistics%20and%20Data%20Analysis
Infrared Physics & Technology,13504495,Subscribed,Infrared%20Physics%20and%20Technology
Journal of Economic Behavior & Organization,01672681,Subscribed,Journal%20of%20Economic%20Behavior%20and%20Organization
Medical Engineering & Physics,13504533,Subscribed,Medical%20Engineering%20and%20Physics
Ocean & Coastal Management,09645691,Subscribed,Ocean%20and%20Coastal%20Management
Reliability Engineering & System Safety,09518320,Subscribed,Reliability%20Engineering%20and%20System%20Safety
Optics & Laser Technology,00303992,Subscribed,Optics%20and%20Laser%20Technology
"Resources, Conservation & Recycling",09213449,Subscribed,Resources%2C%20Conservation%20and%20Recycling
Soil Biology & Biochemistry,00380717,Subscribed,Soil%20Biology%20and%20Biochemistry
Trends in Ecology & Evolution,01695347,Subscribed,Trends%20in%20Ecology%20and%20Evolution
Statistics & Probability Letters,01677152,Subscribed,Statistics%20and%20Probability%20Letters
Systems & Control Letters,01676911,Subscribed,Systems%20and%20Control%20Letters
Rangeland Ecology & Management,15507424,Subscribed,Rangeland%20Ecology%20and%20Management
Child Abuse & Neglect,01452134,Subscribed,Child%20Abuse%20and%20Neglect
American Journal of Obstetrics & Gynecology,00029378,Subscribed,American%20Journal%20of%20Obstetrics%20and%20Gynecology
Free Radical Biology & Medicine,08915849,Subscribed,Free%20Radical%20Biology%20and%20Medicine
Journal of Cataract & Refractive Surgery,08863350,Subscribed,Journal%20of%20Cataract%20and%20Refractive%20Surgery
Heart & Lung,01479563,Subscribed,Heart%20and%20Lung
Neuroscience & Biobehavioral Reviews,01497634,Subscribed,Neuroscience%20and%20Biobehavioral%20Reviews
Pharmacology & Therapeutics,01637258,Subscribed,Pharmacology%20and%20Therapeutics
"Journal of Plastic, Reconstructive & Aesthetic Surgery",17486815,Subscribed,Journal%20of%20Plastic%2C%20Reconstructive%20and%20Aesthetic%20Surgery
Progress in Neuro-Psychopharmacology & Biological Psychiatry,02785846,Subscribed,Progress%20in%20Neuro-Psychopharmacology%20and%20Biological%20Psychiatry
Trends in Endocrinology & Metabolism,10432760,Subscribed,Trends%20in%20Endocrinology%20and%20Metabolism
Radiotherapy & Oncology,01678140,Subscribed,Radiotherapy%20and%20Oncology
The Journal of Foot & Ankle Surgery,10672516,Subscribed,The%20Journal%20of%20Foot%20and%20Ankle%20Surgery
Ultrasound in Medicine & Biology,03015629,Subscribed,Ultrasound%20in%20Medicine%20and%20Biology
Physiology & Behavior,00319384,Subscribed,Physiology%20and%20Behavior
"Annals of Allergy, Asthma & Immunology",10811206,Subscribed,Annals%20of%20Allergy%2C%20Asthma%20and%20Immunology
Cell Host & Microbe,19313128,Subscribed,Cell%20Host%20and%20Microbe
Journal of the American Academy of Child & Adolescent Psychiatry,08908567,Subscribed,Journal%20of%20the%20American%20Academy%20of%20Child%20and%20Adolescent%20Psychiatry
The Lancet Diabetes & Endocrinology,22138587,Subscribed,The%20Lancet%20Diabetes%20and%20Endocrinology
The Lancet Gastroenterology & Hepatology,24681253,Subscribed,The%20Lancet%20Gastroenterology%20and%20Hepatology
Journal of Banking & Finance,03784266,Subscribed,Journal%20of%20Banking%20and%20Finance
